Shipment number,EAN,SKU,Product,Invoice Id,Invoice amount,Quantity,Amount,Status,Reason,Payment method,Fulfiller Name
17541443296731039058J,,Sunflower 5 ltr,Jivo Cold Pressed Sunflower Oil  5 Ltr - Chemical free,,0.0,1,1050.0,Cancelled by buyer,I am unable to recieve,COD,RRL HR JHJ Luhari 3P RFC
17542076507681648712J,,5 Ltr Canola,"Jivo Canola Cold Press Oil, 5 Ltr Healthiest Cooking Oil (Pack of 1)",,0.0,1,1199.0,Cancelled by buyer,Expected delivery time is long,COD,RRL HR JHJ Luhari 3P RFC
17541918460311300401J,,Mustard Oil 5L,Jivo Cold Pressed Kachi Ghani Pure Mustard Oil 5 Litre,,0.0,1,849.0,Cancelled by buyer,Expected delivery time is long,COD,RRL HR JHJ Luhari 3P RFC
17542101574021352584J,,Jivo Soyabean Oil 5L,JIVO Soyabean Cooking Oil 5 Ltr (Pack of 1),,0.0,1,849.0,Cancelled by buyer,Expected delivery time is long,COD,RRL HR JHJ Luhari 3P RFC
17542111445841827739J,,Sunflower 5 ltr,Jivo Cold Pressed Sunflower Oil  5 Ltr - Chemical free,,0.0,1,1050.0,Cancelled by buyer,Better price available elsewhere,Prepaid_Payments,RRL HR JHJ Luhari 3P RFC
17542101535951636855J,,Jivo Gold_5 Ltr,Jivo Gold Refined Oil Blend of Rice Bran oil & Sunflower oil 5 litre,,0.0,1,850.0,Cancelled by buyer,Expected delivery time is long,Prepaid_Payments,RRL HR JHJ Luhari 3P RFC
17542169595471414676J,,Jivo Gold_5 Ltr,Jivo Gold Refined Oil Blend of Rice Bran oil & Sunflower oil 5 litre,,0.0,1,765.0,Cancelled by buyer,Expected delivery time is long,COD,RRL HR JHJ Luhari 3P RFC
17542174444861918350J,,5 Ltr Canola,"Jivo Canola Cold Press Oil, 5 Ltr Healthiest Cooking Oil (Pack of 1)",,0.0,1,1199.0,Cancelled by buyer,Expected delivery time is long,COD,RRL HR JHJ Luhari 3P RFC
17542235885741780889J,,Jivo Gold_5 Ltr,Jivo Gold Refined Oil Blend of Rice Bran oil & Sunflower oil 5 litre,,0.0,1,850.0,Cancelled by buyer,Expected delivery time is long,COD,RRL HR JHJ Luhari 3P RFC
17542251105161479354J,,Groundnut oil 5L,Jivo Cold Pressed oil Groundnut Oil - 5 Litre | Peanut Oil |Natural Cooking Oil | Chemical Free,,0.0,1,1199.0,Cancelled by buyer,Expected delivery time is long,Prepaid_Payments,RRL HR JHJ Luhari 3P RFC
17542381119261100139J,,Extra Virgin Olive Oil 1 ltr,"Jivo Extra Virgin Olive Oil, 1L for Dressings, Salad and Soups, Dips & Marinades.",,0.0,1,699.0,Cancelled by buyer,Expected delivery time is long,Prepaid_Payments,RRL HR JHJ Luhari 3P RFC
17542364810851693826J,,Mustard Oil 5L,Jivo Cold Pressed Kachi Ghani Pure Mustard Oil 5 Litre,,0.0,1,849.0,Cancelled by buyer,Expected delivery time is long,Prepaid_Payments,RRL HR JHJ Luhari 3P RFC
