,BRAND,ORDERED_DATE,CITY,AREA_NAME,STORE_ID,L1_CATEGORY,L2_CATEGORY,L3_CATEGORY,PRODUCT_NAME,VARIANT,ITEM_CODE,COMBO,COMBO_ITEM_CODE,COMBO_UNITS_SOLD,BASE_MRP,UNITS_SOLD,GMV
9248,jivo,2025-08-04,Gurgaon,sohna road,1383827,edible oils and ghee,edible oils,sunflower oil,jivo gold refined oil - blend of rice bran oil & sunflower oil,1 L,429981,No,,,225.0,3.0,675.0
9249,jivo,2025-08-04,Bangalore,central bangalore,1403353,edible oils and ghee,edible oils,sunflower oil,jivo gold refined oil - blend of rice bran oil & sunflower oil,1 L,429981,No,,,225.0,1.0,225.0
9250,jivo,2025-08-04,Noida,crossing republic,1404167,edible oils and ghee,edible oils,groundnut oil,jivo cold pressed oil groundnut oil,1 L,390730,No,,,560.0,1.0,560.0
9251,jivo,2025-08-04,Bhubaneswar,nayapalli,1398747,edible oils and ghee,edible oils,pomace oil,jivo daily cooking pomace olive oil,1 L,21709,No,,,1049.0,1.0,1049.0
9252,jivo,2025-08-04,Kochi,kaloor,1399703,edible oils and ghee,edible oils,sunflower oil,jivo gold refined oil - blend of rice bran oil & sunflower oil,1 L,429981,No,,,225.0,2.0,450.0
9253,jivo,2025-08-04,Mumbai,malad kan west,1239162,edible oils and ghee,edible oils,sunflower oil,jivo gold refined oil - blend of rice bran oil & sunflower oil,1 L,429981,No,,,225.0,2.0,450.0
9254,jivo,2025-08-04,Bangalore,bellandur sarjapur,1385836,edible oils and ghee,edible oils,rice bran oil,jivo ricebran oil 1l,1 ltr,958164,No,,,285.0,1.0,285.0
9255,jivo,2025-08-04,Bangalore,bellandur sarjapur,1402605,edible oils and ghee,edible oils,sunflower oil,jivo gold refined oil - blend of rice bran oil & sunflower oil,1 L,429981,No,,,225.0,1.0,225.0
9256,jivo,2025-08-04,Aurangabad,nirala bazar,1401651,edible oils and ghee,edible oils,pomace oil,jivo pomace daily cooking olive oil,2 L,88218,No,,,1449.0,1.0,1449.0
9257,jivo,2025-08-04,Bangalore,bellandur sarjapur,1382254,edible oils and ghee,edible oils,sunflower oil,jivo gold refined oil - blend of rice bran oil & sunflower oil,1 L,429981,No,,,225.0,1.0,225.0
9258,jivo,2025-08-04,Chennai,medavakkam,1385476,edible oils and ghee,olive oil,extra light olive oil,jivo extra light daily cooking olive oil,1 ltr,15687,No,,,1499.0,1.0,1499.0
