Shipment Number,Fulfillment Type,Shipment Created At,Shipment Status,Fulfiller Name,Accepted At,Product Title,EAN,Sku,Qty,MRP,Promotion Amt,Shipping Charge,Item Total,Payment Method Used,Tracking Code,Shipping Agent Code,Invoice Id,Acceptance TAT Date & Time
17543047846621144013J,RFC Shipment,2025-08-04 16:23:05 +0530,pick_up_confirmed,RRL HR JHJ Luhari 3P RFC,2025-08-05 16:54:57 +0530,Jivo Cold Pressed oil Groundnut Oil - 5 Litre | Peanut Oil |Natural Cooking Oil | Chemical Free,,Groundnut oil 5L,1,2800.0,1601.0,0.0,1199.0,Prepaid_Payments,115761161742430,Delhivery,S06ENB5AKFA06833,2025-08-05 10:23:05 +0530
17543051966001603471J,RFC Shipment,2025-08-04 16:29:57 +0530,delivered,RRL HR JHJ Luhari 3P RFC,2025-08-05 14:21:16 +0530,"Jivo Canola Cold Press Oil, 5 Ltr Healthiest Cooking Oil (Pack of 1)",,5 Ltr Canola,1,1650.0,451.0,0.0,1199.0,Prepaid_Payments,SF1948332691JIM,Shadowfax,S06ENB5AKFA06786,2025-08-05 10:29:57 +0530
17543054230141826976J,RFC Shipment,2025-08-04 16:33:43 +0530,delivered,RRL HR JHJ Luhari 3P RFC,2025-08-05 16:52:35 +0530,Jivo Gold Refined Oil Blend of Rice Bran oil & Sunflower oil 5 litre,,Jivo Gold_5 Ltr,1,1049.0,199.0,0.0,850.0,COD,115761161742135,Delhivery,S06ENB5AKFA06832,2025-08-05 10:33:43 +0530
17543064471001116784J,RFC Shipment,2025-08-04 16:50:47 +0530,delivered,RRL HR JHJ Luhari 3P RFC,2025-08-05 15:10:59 +0530,"Jivo Canola Cold Press Oil, 5 Ltr Healthiest Cooking Oil (Pack of 1)",,5 Ltr Canola,1,1650.0,451.0,0.0,1199.0,COD,115761161729384,Delhivery,S06ENB5AKFA06799,2025-08-05 10:50:47 +0530
17543068143491726773J,RFC Shipment,2025-08-04 16:56:54 +0530,delivered,RRL HR JHJ Luhari 3P RFC,2025-08-05 15:12:44 +0530,Jivo Cold Pressed Kachi Ghani Pure Mustard Oil 5 Litre,,Mustard Oil 5L,1,1250.0,401.0,0.0,849.0,COD,115761161729594,Delhivery,S06ENB5AKFA06801,2025-08-05 10:56:54 +0530
17543075131821866481J,RFC Shipment,2025-08-04 17:08:33 +0530,canceled,RRL HR JHJ Luhari 3P RFC,,Jivo Cold Pressed Kachi Ghani Pure Mustard Oil 5 Litre,,Mustard Oil 5L,0,1250.0,0.0,0.0,0.0,COD,,,,2025-08-05 11:08:33 +0530
17543075932951378781J,RFC Shipment,2025-08-04 17:09:57 +0530,delivered,RRL HR JHJ Luhari 3P RFC,2025-08-05 16:47:05 +0530,Jivo Cold Pressed Kachi Ghani Pure Mustard Oil 5 Litre,,Mustard Oil 5L,1,1250.0,401.0,0.0,849.0,COD,SF1948484172JIM,Shadowfax,S06ENB5AKFA06827,2025-08-05 11:09:57 +0530
17543082480091464591J,RFC Shipment,2025-08-04 17:20:48 +0530,delivered,RRL HR JHJ Luhari 3P RFC,2025-08-05 13:17:23 +0530,"Jivo Extra Virgin Olive Oil, 1L for Dressings, Salad and Soups, Dips & Marinades.",,Extra Virgin Olive Oil 1 ltr,1,1590.0,891.0,0.0,699.0,COD,SF1948288110JIM,Shadowfax,S06ENB5AKFA06767,2025-08-05 11:20:48 +0530
17543095985371667619J,RFC Shipment,2025-08-04 17:43:19 +0530,delivered,RRL HR JHJ Luhari 3P RFC,2025-08-05 12:55:45 +0530,"Jivo Extra Virgin Olive Oil, 1L for Dressings, Salad and Soups, Dips & Marinades.",,Extra Virgin Olive Oil 1 ltr,1,1590.0,891.0,0.0,699.0,Prepaid_Payments,115761161711140,Delhivery,S06ENB5AKFA06762,2025-08-05 11:43:19 +0530
17543102248531039263J,RFC Shipment,2025-08-04 17:53:45 +0530,delivered,RRL HR JHJ Luhari 3P RFC,2025-08-05 14:26:31 +0530,Jivo Cold Pressed Kachi Ghani Pure Mustard Oil 5 Litre,,Mustard Oil 5L,1,1250.0,401.0,0.0,849.0,COD,SF1948337317JIM,Shadowfax,S06ENB5AKFA06788,2025-08-05 11:53:45 +0530
17543107092481749758J,RFC Shipment,2025-08-04 18:01:49 +0530,delivered,RRL HR JHJ Luhari 3P RFC,2025-08-05 14:08:54 +0530,Jivo Cold Pressed Sunflower Oil  5 Ltr - Chemical free,,Sunflower 5 ltr,1,1350.0,300.0,0.0,1050.0,Prepaid_Payments,115761161720122,Delhivery,S06ENB5AKFA06778,2025-08-05 12:01:49 +0530
17543131686981069657J,RFC Shipment,2025-08-04 18:42:49 +0530,delivered,RRL HR JHJ Luhari 3P RFC,2025-08-05 15:19:39 +0530,Jivo Pomace Olive Oil 1 Litre,,Jivo Pomace Olive Oil 1 Litre,1,749.0,250.0,0.0,499.0,COD,SF1948407665JIM,Shadowfax,S06ENB5AKFA06804,2025-08-05 12:42:49 +0530
17543137894341114806J,RFC Shipment,2025-08-04 18:53:10 +0530,delivered,RRL HR JHJ Luhari 3P RFC,2025-08-05 11:40:58 +0530,"Jivo Olive Oil Extra Light Daily Cooking 5 Litre (TIN) | Recommendable for Roasting, Frying, Baking All type of Cuisines| Low Saturated Fat, Low Saturated Fat",,Jivo Olive Oil Extra Light 5 Litre,1,6499.0,3900.0,0.0,2599.0,Prepaid_Payments,SF1948179994JIM,Shadowfax,S06ENB5AKFA06755,2025-08-05 12:53:10 +0530
17543143602071422277J,RFC Shipment,2025-08-04 19:02:41 +0530,shipment_returned,RRL HR JHJ Luhari 3P RFC,2025-08-05 17:33:15 +0530,Jivo Cold Pressed Kachi Ghani Pure Mustard Oil 5 Litre,,Mustard Oil 5L,4,1250.0,1604.0,0.0,3396.0,COD,21194011426585,Delhivery,S06ENB5AKFA06856,2025-08-05 13:02:41 +0530
17543146679801836812J,RFC Shipment,2025-08-04 19:07:48 +0530,pick_up_confirmed,RRL HR JHJ Luhari 3P RFC,2025-08-05 17:08:32 +0530,"Sano Sunflower Oil 5 Ltr Pet Bottle - Pure, Nutrient-Rich Cooking Oil with High Smoke Point",,Sano_Sunflower_5L,1,1475.0,676.0,0.0,799.0,COD,SF1948496809JIM,Shadowfax,S06ENB5AKFA06842,2025-08-05 13:07:48 +0530
17543158262131204718J,RFC Shipment,2025-08-04 19:27:06 +0530,delivered,RRL HR JHJ Luhari 3P RFC,2025-08-05 17:26:18 +0530,Jivo Cold Pressed Kachi Ghani Pure Mustard Oil 5 Litre,,Mustard Oil 5L,1,1250.0,485.9,0.0,764.1,Prepaid_Payments,115761161746840,Delhivery,S06ENB5AKFA06851,2025-08-05 13:27:06 +0530
17543169733251003544J,RFC Shipment,2025-08-04 19:46:13 +0530,delivered,RRL HR JHJ Luhari 3P RFC,2025-08-05 14:14:43 +0530,Jivo Pomace Olive Oil 1 Litre,,Jivo Pomace Olive Oil 1 Litre,1,749.0,250.0,0.0,499.0,COD,115761161720881,Delhivery,S06ENB5AKFA06782,2025-08-05 13:46:13 +0530
17543172548031621641J,RFC Shipment,2025-08-04 19:50:55 +0530,canceled,RRL HR JHJ Luhari 3P RFC,,Jivo Cold Pressed Kachi Ghani Pure Mustard Oil 5 Litre,,Mustard Oil 5L,0,1250.0,0.0,0.0,0.0,COD,,,,2025-08-05 13:50:55 +0530
17543179893611844899J,RFC Shipment,2025-08-04 20:03:09 +0530,delivered,RRL HR JHJ Luhari 3P RFC,2025-08-05 12:21:02 +0530,Jivo Cold Pressed Kachi Ghani Pure Mustard Oil 5 Litre,,Mustard Oil 5L,1,1250.0,485.9,0.0,764.1,COD,115761161705960,Delhivery,S06ENB5AKFA06758,2025-08-05 14:03:09 +0530
17543182425101619806J,RFC Shipment,2025-08-04 20:07:23 +0530,pick_up_confirmed,RRL HR JHJ Luhari 3P RFC,2025-08-05 17:09:15 +0530,Jivo Cold Pressed Kachi Ghani Pure Mustard Oil 5 Litre,,Mustard Oil 5L,1,1250.0,401.0,0.0,849.0,COD,SF1948497051JIM,Shadowfax,S06ENB5AKFA06843,2025-08-05 14:07:23 +0530
17543189524771290008J,RFC Shipment,2025-08-04 20:19:12 +0530,pick_up_confirmed,RRL HR JHJ Luhari 3P RFC,2025-08-05 12:22:57 +0530,"Jivo Canola Cold Press Oil, 5 Ltr Healthiest Cooking Oil (Pack of 1)",,5 Ltr Canola,1,1650.0,451.0,0.0,1199.0,Prepaid_Payments,115761161706262,Delhivery,S06ENB5AKFA06759,2025-08-05 14:19:12 +0530
17543190779031452934J,RFC Shipment,2025-08-04 20:21:18 +0530,canceled,RRL HR JHJ Luhari 3P RFC,,Jivo Gold Refined Oil Blend of Rice Bran oil & Sunflower oil 5 litre,,Jivo Gold_5 Ltr,0,1049.0,0.0,0.0,0.0,COD,,,,2025-08-05 14:21:18 +0530
17543200513021493174J,RFC Shipment,2025-08-04 20:37:32 +0530,pick_up_confirmed,RRL HR JHJ Luhari 3P RFC,2025-08-05 16:03:10 +0530,"Jivo Extra Virgin Olive Oil, 1L for Dressings, Salad and Soups, Dips & Marinades.",,Extra Virgin Olive Oil 1 ltr,1,1590.0,891.0,0.0,699.0,COD,SF1948442578JIM,Shadowfax,S06ENB5AKFA06816,2025-08-05 14:37:32 +0530
