City,SKU Name,SKU Code,EAN,SKU Category,SKU Sub Category,Brand Name,Manufacturer Name,Manufacturer ID,Units
Jalandhar,Jivo Extra Virgin Olive Oil | Bottle 1.0 LITER,5d186472-6fe2-4643-af2f-2f9cd773986d,8908000258723,"Atta, Rice, Oil & Dals",Oil,Jivo,Jivo Wellness Pvt. Ltd.,946950b7-1ce2-4bdf-a7c4-37499e3f5f34,8
Varanasi,Jivo Extra Virgin Olive Oil | Bottle 1.0 LITER,5d186472-6fe2-4643-af2f-2f9cd773986d,8908000258723,"Atta, Rice, Oil & Dals",Oil,Jivo,Jivo Wellness Pvt. Ltd.,946950b7-1ce2-4bdf-a7c4-37499e3f5f34,3
Bhiwadi,Jivo Extra Virgin Olive Oil | Bottle 1.0 LITER,5d186472-6fe2-4643-af2f-2f9cd773986d,8908000258723,"Atta, Rice, Oil & Dals",Oil,Jivo,Jivo Wellness Pvt. Ltd.,946950b7-1ce2-4bdf-a7c4-37499e3f5f34,2
Guntur,Jivo Extra Virgin Olive Oil | Bottle 1.0 LITER,5d186472-6fe2-4643-af2f-2f9cd773986d,8908000258723,"Atta, Rice, Oil & Dals",Oil,Jivo,Jivo Wellness Pvt. Ltd.,946950b7-1ce2-4bdf-a7c4-37499e3f5f34,2
Mumbai,Jivo Gold Refined Oil Blend Of Rice Bran Oil and Sunflower Oil 1.0 LITER,bc1af3d1-2a14-4296-b38e-e05ba43c3170,8905604001076,"Atta, Rice, Oil & Dals",Oil,Jivo,Jivo Wellness Pvt. Ltd.,946950b7-1ce2-4bdf-a7c4-37499e3f5f34,9
Delhi,Jivo Gold Refined Oil Blend Of Rice Bran Oil and Sunflower Oil 1.0 LITER,bc1af3d1-2a14-4296-b38e-e05ba43c3170,8905604001076,"Atta, Rice, Oil & Dals",Oil,Jivo,Jivo Wellness Pvt. Ltd.,946950b7-1ce2-4bdf-a7c4-37499e3f5f34,4
Bengaluru,Jivo Extra Virgin Olive Oil | Bottle 1.0 LITER,5d186472-6fe2-4643-af2f-2f9cd773986d,8908000258723,"Atta, Rice, Oil & Dals",Oil,Jivo,Jivo Wellness Pvt. Ltd.,946950b7-1ce2-4bdf-a7c4-37499e3f5f34,271
Kolkata,Jivo Extra Virgin Olive Oil | Bottle 1.0 LITER,5d186472-6fe2-4643-af2f-2f9cd773986d,8908000258723,"Atta, Rice, Oil & Dals",Oil,Jivo,Jivo Wellness Pvt. Ltd.,946950b7-1ce2-4bdf-a7c4-37499e3f5f34,1
Ghaziabad,Jivo Cold Press Sunflower Cooking Oil 1.0 LITER,06c8f55b-13a5-4d9b-8990-a418e63c89ad,8908000258235,"Atta, Rice, Oil & Dals",Oil,Jivo,Jivo Wellness Pvt. Ltd.,946950b7-1ce2-4bdf-a7c4-37499e3f5f34,2
Bengaluru,Jivo Cold Press Sunflower Cooking Oil 1.0 LITER,06c8f55b-13a5-4d9b-8990-a418e63c89ad,8908000258235,"Atta, Rice, Oil & Dals",Oil,Jivo,Jivo Wellness Pvt. Ltd.,946950b7-1ce2-4bdf-a7c4-37499e3f5f34,310
Hyderabad,Jivo So-Olive Blend Of Rice Bran and Olive Oil 1.0 LITER,dc9c5857-5d89-45c7-895a-373097239ff7,8905604002080,"Atta, Rice, Oil & Dals",Oil,Jivo,Jivo Wellness Pvt. Ltd.,946950b7-1ce2-4bdf-a7c4-37499e3f5f34,1
Agra,Jivo So-Olive Blend Of Rice Bran and Olive Oil 1.0 LITER,dc9c5857-5d89-45c7-895a-373097239ff7,8905604002080,"Atta, Rice, Oil & Dals",Oil,Jivo,Jivo Wellness Pvt. Ltd.,946950b7-1ce2-4bdf-a7c4-37499e3f5f34,1
Noida,Jivo So-Olive Blend Of Rice Bran and Olive Oil 1.0 LITER,dc9c5857-5d89-45c7-895a-373097239ff7,8905604002080,"Atta, Rice, Oil & Dals",Oil,Jivo,Jivo Wellness Pvt. Ltd.,946950b7-1ce2-4bdf-a7c4-37499e3f5f34,19
Jhajjar,Jivo So-Olive Blend Of Rice Bran and Olive Oil 1.0 LITER,dc9c5857-5d89-45c7-895a-373097239ff7,8905604002080,"Atta, Rice, Oil & Dals",Oil,Jivo,Jivo Wellness Pvt. Ltd.,946950b7-1ce2-4bdf-a7c4-37499e3f5f34,2
Chennai,Jivo Mustard oil Tin 15.0 LITER,f0a1ac3e-3c19-4701-a378-f89de69514e2,8908000258303,"Atta, Rice, Oil & Dals",Oil,Jivo,Jivo Wellness Pvt. Ltd.,946950b7-1ce2-4bdf-a7c4-37499e3f5f34,11
Faridabad,Jivo Extra Virgin Cooking Olive Oil 5.0 LITER,c80ef4de-b2c3-4fb4-984b-4cb29b33db33,8905604000000,"Atta, Rice, Oil & Dals",Oil,Jivo,Jivo Wellness Pvt. Ltd.,946950b7-1ce2-4bdf-a7c4-37499e3f5f34,1
Ghaziabad,Jivo Extra Virgin Cooking Olive Oil 5.0 LITER,c80ef4de-b2c3-4fb4-984b-4cb29b33db33,8905604000000,"Atta, Rice, Oil & Dals",Oil,Jivo,Jivo Wellness Pvt. Ltd.,946950b7-1ce2-4bdf-a7c4-37499e3f5f34,2
Pune,Jivo Extra Virgin Cooking Olive Oil 5.0 LITER,c80ef4de-b2c3-4fb4-984b-4cb29b33db33,8905604000000,"Atta, Rice, Oil & Dals",Oil,Jivo,Jivo Wellness Pvt. Ltd.,946950b7-1ce2-4bdf-a7c4-37499e3f5f34,19
Ahmedabad,Jivo Extra Virgin Cooking Olive Oil 5.0 LITER,c80ef4de-b2c3-4fb4-984b-4cb29b33db33,8905604000000,"Atta, Rice, Oil & Dals",Oil,Jivo,Jivo Wellness Pvt. Ltd.,946950b7-1ce2-4bdf-a7c4-37499e3f5f34,1
Ghaziabad,Jivo Extra Virgin Olive Oil | Bottle 1.0 LITER,5d186472-6fe2-4643-af2f-2f9cd773986d,8908000258723,"Atta, Rice, Oil & Dals",Oil,Jivo,Jivo Wellness Pvt. Ltd.,946950b7-1ce2-4bdf-a7c4-37499e3f5f34,26
Faridabad,Jivo Cold Press Groundnut Cooking Oil 1.0 LITER,41367ef4-80d9-4819-bbae-d1806c184f5c,8905604001199,"Atta, Rice, Oil & Dals",Oil,Jivo,Jivo Wellness Pvt. Ltd.,946950b7-1ce2-4bdf-a7c4-37499e3f5f34,22
Pune,Jivo Extra Virgin Olive Oil | Bottle 1.0 LITER,5d186472-6fe2-4643-af2f-2f9cd773986d,8908000258723,"Atta, Rice, Oil & Dals",Oil,Jivo,Jivo Wellness Pvt. Ltd.,946950b7-1ce2-4bdf-a7c4-37499e3f5f34,1
Noida,Jivo Extra Virgin Olive Oil | Bottle 1.0 LITER,5d186472-6fe2-4643-af2f-2f9cd773986d,8908000258723,"Atta, Rice, Oil & Dals",Oil,Jivo,Jivo Wellness Pvt. Ltd.,946950b7-1ce2-4bdf-a7c4-37499e3f5f34,53
Nashik,Jivo Gold Refined Oil Blend Of Rice Bran Oil and Sunflower Oil 1.0 LITER,bc1af3d1-2a14-4296-b38e-e05ba43c3170,8905604001076,"Atta, Rice, Oil & Dals",Oil,Jivo,Jivo Wellness Pvt. Ltd.,946950b7-1ce2-4bdf-a7c4-37499e3f5f34,1
Faridabad,Jivo Extra Virgin Olive Oil | Bottle 1.0 LITER,5d186472-6fe2-4643-af2f-2f9cd773986d,8908000258723,"Atta, Rice, Oil & Dals",Oil,Jivo,Jivo Wellness Pvt. Ltd.,946950b7-1ce2-4bdf-a7c4-37499e3f5f34,32
Bengaluru,Jivo Gold Refined Oil Blend Of Rice Bran Oil and Sunflower Oil 1.0 LITER,bc1af3d1-2a14-4296-b38e-e05ba43c3170,8905604001076,"Atta, Rice, Oil & Dals",Oil,Jivo,Jivo Wellness Pvt. Ltd.,946950b7-1ce2-4bdf-a7c4-37499e3f5f34,139
Lucknow,Jivo Cold Press Groundnut Cooking Oil 1.0 LITER,41367ef4-80d9-4819-bbae-d1806c184f5c,8905604001199,"Atta, Rice, Oil & Dals",Oil,Jivo,Jivo Wellness Pvt. Ltd.,946950b7-1ce2-4bdf-a7c4-37499e3f5f34,39
Agra,Jivo Extra Virgin Olive Oil | Bottle 1.0 LITER,5d186472-6fe2-4643-af2f-2f9cd773986d,8908000258723,"Atta, Rice, Oil & Dals",Oil,Jivo,Jivo Wellness Pvt. Ltd.,946950b7-1ce2-4bdf-a7c4-37499e3f5f34,12
Jhajjar,Jivo Cold Press Groundnut Cooking Oil 1.0 LITER,41367ef4-80d9-4819-bbae-d1806c184f5c,8905604001199,"Atta, Rice, Oil & Dals",Oil,Jivo,Jivo Wellness Pvt. Ltd.,946950b7-1ce2-4bdf-a7c4-37499e3f5f34,0
Mumbai,Jivo Cold Press Groundnut Cooking Oil 1.0 LITER,41367ef4-80d9-4819-bbae-d1806c184f5c,8905604001199,"Atta, Rice, Oil & Dals",Oil,Jivo,Jivo Wellness Pvt. Ltd.,946950b7-1ce2-4bdf-a7c4-37499e3f5f34,44
Ludhiana,Jivo Cold Press Groundnut Cooking Oil 1.0 LITER,41367ef4-80d9-4819-bbae-d1806c184f5c,8905604001199,"Atta, Rice, Oil & Dals",Oil,Jivo,Jivo Wellness Pvt. Ltd.,946950b7-1ce2-4bdf-a7c4-37499e3f5f34,1
Noida,Jivo Cold Press Groundnut Cooking Oil 1.0 LITER,41367ef4-80d9-4819-bbae-d1806c184f5c,8905604001199,"Atta, Rice, Oil & Dals",Oil,Jivo,Jivo Wellness Pvt. Ltd.,946950b7-1ce2-4bdf-a7c4-37499e3f5f34,38
Jaipur,Jivo Extra Virgin Olive Oil | Bottle 1.0 LITER,5d186472-6fe2-4643-af2f-2f9cd773986d,8908000258723,"Atta, Rice, Oil & Dals",Oil,Jivo,Jivo Wellness Pvt. Ltd.,946950b7-1ce2-4bdf-a7c4-37499e3f5f34,32
Meerut,Jivo Extra Virgin Olive Oil | Bottle 1.0 LITER,5d186472-6fe2-4643-af2f-2f9cd773986d,8908000258723,"Atta, Rice, Oil & Dals",Oil,Jivo,Jivo Wellness Pvt. Ltd.,946950b7-1ce2-4bdf-a7c4-37499e3f5f34,2
Noida,Jivo Cold Press Sunflower Cooking Oil 1.0 LITER,06c8f55b-13a5-4d9b-8990-a418e63c89ad,8908000258235,"Atta, Rice, Oil & Dals",Oil,Jivo,Jivo Wellness Pvt. Ltd.,946950b7-1ce2-4bdf-a7c4-37499e3f5f34,27
Faridabad,Jivo Cold Press Sunflower Cooking Oil 1.0 LITER,06c8f55b-13a5-4d9b-8990-a418e63c89ad,8908000258235,"Atta, Rice, Oil & Dals",Oil,Jivo,Jivo Wellness Pvt. Ltd.,946950b7-1ce2-4bdf-a7c4-37499e3f5f34,3
SAS Nagar,Jivo Cold Press Sunflower Cooking Oil 1.0 LITER,06c8f55b-13a5-4d9b-8990-a418e63c89ad,8908000258235,"Atta, Rice, Oil & Dals",Oil,Jivo,Jivo Wellness Pvt. Ltd.,946950b7-1ce2-4bdf-a7c4-37499e3f5f34,6
Mumbai,Jivo Cold Press Sunflower Cooking Oil 1.0 LITER,06c8f55b-13a5-4d9b-8990-a418e63c89ad,8908000258235,"Atta, Rice, Oil & Dals",Oil,Jivo,Jivo Wellness Pvt. Ltd.,946950b7-1ce2-4bdf-a7c4-37499e3f5f34,169
Gurugram,Jivo Cold Press Sunflower Cooking Oil 1.0 LITER,06c8f55b-13a5-4d9b-8990-a418e63c89ad,8908000258235,"Atta, Rice, Oil & Dals",Oil,Jivo,Jivo Wellness Pvt. Ltd.,946950b7-1ce2-4bdf-a7c4-37499e3f5f34,69
