date_range,source_city_name,brand_name,top_slug,mid_slug,leaf_slug,source_sku_id,sku_description,sku_weight,total_quantity,total_mrp,total_sales
20250801 - 20250810,Hyderabad,Jivo,beverages,fruit-juices-drinks,juices,40335335,Jivo blueberry-healthy-wheatgrass-juice 200 ml  ,200 ml,1.0,50.0,50.0
20250801 - 20250810,Noida,Jivo,foodgrains-oil-masala,edible-oils-ghee,soya-mustard-oils,40166395,Jivo cold-press-kachi-ghani-mustard-oil 1 L Bottle ,1 L,63.0,16065.0,13287.3
20250801 - 20250810,Pune,Jivo,foodgrains-oil-masala,edible-oils-ghee,olive-canola-oils,40166398,Jivo extra-light-olive-oil 1 L Bottle ,1 L,17.0,25483.0,12160.95
20250801 - 20250810,Lucknow Rural,Jivo,foodgrains-oil-masala,edible-oils-ghee,olive-canola-oils,282780,Jivo canola-oil 5 L Bottle ,5 L,1.0,1650.0,1411.86
20250801 - 20250810,Kolkata,Jivo,beverages,fruit-juices-drinks,juices,40335336,Jivo mango-healthy-wheatgrass-juice 200 ml  ,200 ml,4.0,200.0,200.0
20250801 - 20250810,Mumbai,Jivo,beverages,fruit-juices-drinks,juices,40335338,Jivo rose-healthy-wheatgrass-juice 200 ml  ,200 ml,2.0,100.0,80.0
20250801 - 20250810,Noida,Jivo,foodgrains-oil-masala,edible-oils-ghee,olive-canola-oils,40250809,Jivo extra-light-olive-oil-antioxidants-rich-light-cooking-medium-for-frying-grilling 2 L  ,2 L,13.0,36387.0,17466.8
20250801 - 20250810,Gurgaon,Jivo,foodgrains-oil-masala,edible-oils-ghee,cold-pressed-oil,40304418,Jivo cold-pressed-soyabean-oil 1 L Bottle ,1 L,24.0,5400.0,4091.31
20250801 - 20250810,DehraDun,Jivo,foodgrains-oil-masala,edible-oils-ghee,olive-canola-oils,282779,Jivo canola-oil-cold-pressed 1 L  ,1 L,3.0,1125.0,1125.0
20250801 - 20250810,Hyderabad Rural,Jivo,foodgrains-oil-masala,edible-oils-ghee,olive-canola-oils,282779,Jivo canola-oil-cold-pressed 1 L  ,1 L,1.0,375.0,315.0
20250801 - 20250810,Gurgaon,Jivo,beverages,fruit-juices-drinks,juices,40335337,Jivo mojito-healthy-wheatgrass-juice 200 ml  ,200 ml,4.0,200.0,200.0
20250801 - 20250810,Bangalore,Jivo,foodgrains-oil-masala,edible-oils-ghee,olive-canola-oils,40166398,Jivo extra-light-olive-oil 1 L Bottle ,1 L,30.0,44970.0,22315.5
20250801 - 20250810,Hyderabad,Jivo,foodgrains-oil-masala,edible-oils-ghee,olive-canola-oils,282780,Jivo canola-oil 5 L Bottle ,5 L,5.0,8250.0,7577.1
20250801 - 20250810,Gurgaon,Jivo,foodgrains-oil-masala,edible-oils-ghee,blended-cooking-oils,40317122,Jivo gold-multi-source-edible-oil 5 l  ,5 l,1.0,1050.0,716.81
20250801 - 20250810,Gurgaon,Jivo,foodgrains-oil-masala,edible-oils-ghee,olive-canola-oils,40309979,Jivo canola-omega-3-rich-cooking-oil-1-l 1 L Pouch ,1 L,19.0,5681.0,4563.22
20250801 - 20250810,Gurgaon,Jivo,foodgrains-oil-masala,edible-oils-ghee,olive-canola-oils,282779,Jivo canola-oil-cold-pressed 1 L  ,1 L,125.0,46875.0,35505.0
20250801 - 20250810,Hyderabad,Jivo,foodgrains-oil-masala,edible-oils-ghee,olive-canola-oils,40309980,Jivo pomace-olive-oil 2 L  ,2 L,6.0,8694.0,6775.44
20250801 - 20250810,Noida,Jivo,foodgrains-oil-masala,edible-oils-ghee,olive-canola-oils,40197820,Jivo pomace-olive-oil 1 L  ,1 L,37.0,38813.0,20332.28
20250801 - 20250810,Gurgaon,Jivo,beverages,fruit-juices-drinks,juices,40335335,Jivo blueberry-healthy-wheatgrass-juice 200 ml  ,200 ml,8.0,400.0,315.0
20250801 - 20250810,Gurgaon,Jivo,foodgrains-oil-masala,edible-oils-ghee,soya-mustard-oils,40166395,Jivo cold-press-kachi-ghani-mustard-oil 1 L Bottle ,1 L,215.0,54825.0,42683.12
20250801 - 20250810,Noida Rural,Jivo,foodgrains-oil-masala,edible-oils-ghee,soya-mustard-oils,40166395,Jivo cold-press-kachi-ghani-mustard-oil 1 L Bottle ,1 L,5.0,1275.0,1011.54
20250801 - 20250810,Guwahati,Jivo,foodgrains-oil-masala,edible-oils-ghee,olive-canola-oils,40166398,Jivo extra-light-olive-oil 1 L Bottle ,1 L,1.0,1499.0,714.04
20250801 - 20250810,Pune,Jivo,foodgrains-oil-masala,edible-oils-ghee,cold-pressed-oil,40249993,Jivo cold-pressed-sunflower-oil 1 L Bottle ,1 L,180.0,49500.0,37285.2
20250801 - 20250810,Bangalore Rural,Jivo,foodgrains-oil-masala,edible-oils-ghee,cold-pressed-oil,40249993,Jivo cold-pressed-sunflower-oil 1 L Bottle ,1 L,1.0,275.0,200.79
20250801 - 20250810,Hyderabad,Jivo,foodgrains-oil-masala,edible-oils-ghee,cold-pressed-oil,40304419,Jivo cold-pressed-soyabean-oil 5 L Can ,5 L,4.0,4400.0,3841.06
20250801 - 20250810,Allahabad,Jivo,foodgrains-oil-masala,edible-oils-ghee,olive-canola-oils,282779,Jivo canola-oil-cold-pressed 1 L  ,1 L,1.0,375.0,288.64
20250801 - 20250810,Noida Rural,Jivo,foodgrains-oil-masala,edible-oils-ghee,olive-canola-oils,40250808,Jivo extra-virgin-olive-oil-antioxidants-rich-suitable-for-salads-saute 1 L  ,1 L,1.0,1799.0,1060.56
20250801 - 20250810,Raipur,Jivo,foodgrains-oil-masala,edible-oils-ghee,olive-canola-oils,40166398,Jivo extra-light-olive-oil 1 L Bottle ,1 L,2.0,2998.0,1487.7
20250801 - 20250810,Hyderabad Rural,Jivo,foodgrains-oil-masala,edible-oils-ghee,cold-pressed-oil,40249993,Jivo cold-pressed-sunflower-oil 1 L Bottle ,1 L,8.0,2200.0,1527.0
20250801 - 20250810,Agra,Jivo,foodgrains-oil-masala,edible-oils-ghee,cold-pressed-oil,40249993,Jivo cold-pressed-sunflower-oil 1 L Bottle ,1 L,2.0,550.0,355.11
20250801 - 20250810,Hyderabad,Jivo,beverages,fruit-juices-drinks,juices,40335334,Jivo apple-healthy-wheatgrass-juice 200 ml  ,200 ml,17.0,850.0,725.0
20250801 - 20250810,Agra,Jivo,foodgrains-oil-masala,edible-oils-ghee,olive-canola-oils,40197820,Jivo pomace-olive-oil 1 L  ,1 L,2.0,2098.0,1099.04
20250801 - 20250810,Noida,Jivo,foodgrains-oil-masala,edible-oils-ghee,olive-canola-oils,282780,Jivo canola-oil 5 L Bottle ,5 L,8.0,13200.0,10934.96
20250801 - 20250810,Visakhapatnam,Jivo,foodgrains-oil-masala,edible-oils-ghee,olive-canola-oils,282780,Jivo canola-oil 5 L Bottle ,5 L,1.0,1650.0,1543.65
20250801 - 20250810,Bangalore,Jivo,beverages,fruit-juices-drinks,juices,40335338,Jivo rose-healthy-wheatgrass-juice 200 ml  ,200 ml,5.0,250.0,165.0
20250801 - 20250810,Lucknow-Kanpur,Jivo,foodgrains-oil-masala,edible-oils-ghee,olive-canola-oils,40197820,Jivo pomace-olive-oil 1 L  ,1 L,5.0,5245.0,2747.66
20250801 - 20250810,Hyderabad,Jivo,foodgrains-oil-masala,edible-oils-ghee,olive-canola-oils,40166398,Jivo extra-light-olive-oil 1 L Bottle ,1 L,17.0,25483.0,12645.45
20250801 - 20250810,Mumbai,Jivo,foodgrains-oil-masala,edible-oils-ghee,olive-canola-oils,282780,Jivo canola-oil 5 L Bottle ,5 L,6.0,9900.0,9144.6
20250801 - 20250810,Noida Rural,Jivo,foodgrains-oil-masala,edible-oils-ghee,olive-canola-oils,282780,Jivo canola-oil 5 L Bottle ,5 L,3.0,4950.0,4100.6
20250801 - 20250810,Nagpur Rural,Jivo,foodgrains-oil-masala,edible-oils-ghee,cold-pressed-oil,40249993,Jivo cold-pressed-sunflower-oil 1 L Bottle ,1 L,2.0,550.0,436.9
20250801 - 20250810,Coimbatore,Jivo,foodgrains-oil-masala,edible-oils-ghee,cold-pressed-oil,40249993,Jivo cold-pressed-sunflower-oil 1 L Bottle ,1 L,1.0,275.0,217.73
20250801 - 20250810,Hyderabad,Jivo,beverages,fruit-juices-drinks,juices,40335338,Jivo rose-healthy-wheatgrass-juice 200 ml  ,200 ml,9.0,450.0,390.0
20250801 - 20250810,Gurgaon,Jivo,foodgrains-oil-masala,edible-oils-ghee,olive-canola-oils,40250809,Jivo extra-light-olive-oil-antioxidants-rich-light-cooking-medium-for-frying-grilling 2 L  ,2 L,13.0,36387.0,17466.54
20250801 - 20250810,Vijayawada-Guntur,Jivo,foodgrains-oil-masala,edible-oils-ghee,cold-pressed-oil,40304418,Jivo cold-pressed-soyabean-oil 1 L Bottle ,1 L,2.0,450.0,425.86
20250801 - 20250810,Hyderabad Rural,Jivo,foodgrains-oil-masala,edible-oils-ghee,olive-canola-oils,40197821,Jivo pomace-olive-oil 5 L  ,5 L,1.0,4999.0,2692.3
20250801 - 20250810,Mumbai,Jivo,beverages,fruit-juices-drinks,juices,40335336,Jivo mango-healthy-wheatgrass-juice 200 ml  ,200 ml,4.0,200.0,180.0
